normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,wheel-base,length,width,height,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,curb-weight
115.0,alfa-romero,gas,std,two,convertible,rwd,88.6,168.8,64.1,48.8,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,2548
115.0,alfa-romero,gas,std,two,convertible,rwd,88.6,168.8,64.1,48.8,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,2548
115.0,alfa-romero,gas,std,two,hatchback,rwd,94.5,171.2,65.5,52.4,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,2823
164.0,audi,gas,std,four,sedan,fwd,99.8,176.6,66.2,54.3,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,2337
164.0,audi,gas,std,four,sedan,4wd,99.4,176.6,66.4,54.3,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,2824
115.0,audi,gas,std,two,sedan,fwd,99.8,177.3,66.3,53.1,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,2507
158.0,audi,gas,std,four,sedan,fwd,105.8,192.7,71.4,55.7,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,2844
115.0,audi,gas,std,four,wagon,fwd,105.8,192.7,71.4,55.7,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,2954
158.0,audi,gas,turbo,four,sedan,fwd,105.8,192.7,71.4,55.9,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,3086
192.0,bmw,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,2395
192.0,bmw,gas,std,four,sedan,rwd,101.2,176.8,64.8,54.3,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,2395
